Borough,Neighborhood,zip code,Latitude,Longitude
Bronx,Bronx Park,"10458, 10467, 10468",40.876653,-73.871508
Bronx,Central Bronx,"10453, 10457, 10460",40.846411,-73.898446
Bronx,Fordham,"10458, 10467, 10468",40.876653,-73.871508
Bronx,High Bridge,"10451, 10452, 10456",40.837314,-73.922428
Bronx,Hunts Point,"10454, 10455, 10459, 10474",40.813229,-73.905183
Bronx,Kingsbridge,"10463, 10471",40.879335,-73.910328
Bronx,Morrisania,"10451, 10452, 10456",40.837314,-73.922428
Bronx,Mott Haven,"10454, 10455, 10459, 10474",40.813229,-73.905183
Bronx,Northeast Bronx,"10466, 10469, 10470, 10475",40.86995,-73.844118
Bronx,Riverdale,"10463, 10471",40.879335,-73.910328
Bronx,Southeast Bronx,"10461, 10462, 10464, 10465, 10472, 10473",40.862717,-73.793643
Brooklyn,Borough Park,"11204, 11218, 11219, 11230",40.644512,-73.978228
Brooklyn,Bushwick,"11206, 11221, 11237",40.692502,-73.927079
Brooklyn,Canarsie,"11234, 11236, 11239",40.639866,-73.899428
Brooklyn,Central Brooklyn,"11212, 11213, 11216, 11233, 11238",40.680972,-73.947638
Brooklyn,East New York,"11207, 11208",40.671296,-73.895212
Brooklyn,Flatbush,"11203, 11210, 11225, 11226",40.625556,-73.945896
Brooklyn,Flatlands,"11234, 11236, 11239",40.639866,-73.899428
Brooklyn,Greenpoint,"11211, 11222",40.711666,-73.946422
Brooklyn,New Lots,"11207, 11208",40.671296,-73.895212
Brooklyn,Northwest Brooklyn,"11201, 11205, 11215, 11217, 11231",40.66509,-73.980306
Brooklyn,Southern Brooklyn,"11223, 11224, 11229, 11235",40.577309,-73.986022
Brooklyn,Southwest Brooklyn,"11209, 11214, 11228",40.597689,-74.000986
Brooklyn,Sunset Park,"11220, 11232",40.657236,-74.002868
Brooklyn,Williamsburg,"11206, 11221, 11237",40.692502,-73.927079
Manhattan,Central Harlem,"10026, 10027, 10030, 10037, 10039",40.818433,-73.942274
Manhattan,Chelsea,"10001, 10011, 10018, 10019, 10019, 10036",40.74406,-74.004592
Manhattan,Clinton,"10001, 10011, 10018, 10019, 10019, 10036",40.74406,-74.004592
Manhattan,East Harlem,"10029, 10035",40.795273,-73.930107
Manhattan,Gramercy Park,"10010, 10016, 10017, 10022",40.744594,-73.978088
Manhattan,Greenwich Village,"10012, 10013, 10014",40.720921,-74.008878
Manhattan,Inwood,"10031, 10032, 10033, 10034, 10040",40.858549,-73.93955
Manhattan,Lower East Side,"10002, 10003, 10009",40.731392,-73.9884
Manhattan,Lower Manhattan,"10004, 10005, 10006, 10007, 10038, 10280",40.707932,-74.013335
Manhattan,Murray Hill,"10010, 10016, 10017, 10022",40.744594,-73.978088
Manhattan,Soho,"10012, 10013, 10014",40.720921,-74.008878
Manhattan,Upper East Side,"10021, 10028, 10044, 10065, 10075, 10128",40.761173,-73.950806
Manhattan,Upper West Side,"10023, 10024, 10025",40.797364,-73.97785
Manhattan,Washington Heights,"10031, 10032, 10033, 10034, 10040",40.858549,-73.93955
Queens,Central Queens,"11365, 11366, 11367",40.728054,-73.790559
Queens,Jamaica,"11412, 11423, 11432, 11433, 11434, 11435, 11436",40.697441,-73.786854
Queens,North Queens,"11354, 11355, 11356, 11357, 11358, 11360, 11360",40.787246,-73.811211
Queens,Northeast Queens,"11361, 11362, 11363, 11364",40.757498,-73.735124
Queens,Northwest Queens,"11101, 11102, 11103, 11104, 11105, 11106",40.762289,-73.912051
Queens,Rockaways,"11691, 11692, 11693, 11694, 11697",40.610717,-73.822376
Queens,Southeast Queens,"11004, 11004, 11411, 11413, 11422, 11426, 11427, 11428, 11429",40.659812,-73.738055
Queens,Southwest Queens,"11414, 11415, 11416, 11417, 11418, 11419, 11420, 11421",40.699576,-73.831452
Queens,West Central Queens,"11374, 11375, 11379, 11385",40.723074,-73.842196
Queens,West Queens,"11368, 11369, 11370, 11372, 11373, 11377, 11378",40.75173,-73.882981
Staten Island,Mid-Island,10314,40.596148,-74.161613
Staten Island,Port Richmond,"10302, 10303, 10310",40.632564,-74.168239
Staten Island,South Shore,"10306, 10307, 10308, 10309, 10312",40.55291,-74.14956
Staten Island,St. George,"10301, 10304, 10305",40.607209,-74.095301
Staten Island,Stapleton,"10301, 10304, 10305",40.607209,-74.095301
