,Borough,Neighborhood,zip code,covid19 cases,Latitude,Longitude
0,Bronx,Bronx Park,"10458, 10467, 10468",27981,40.876653000000005,-73.87150799999999
1,Bronx,Central Bronx,"10453, 10457, 10460",20870,40.846410999999996,-73.89844599999999
2,Bronx,Fordham,"10458, 10467, 10468",27981,40.876653000000005,-73.87150799999999
3,Bronx,High Bridge,"10451, 10452, 10456",22884,40.837314,-73.922428
4,Bronx,Hunts Point,"10454, 10455, 10459, 10474",14367,40.813229,-73.905183
5,Bronx,Kingsbridge,"10463, 10471",12000,40.879335,-73.910328
6,Bronx,Morrisania,"10451, 10452, 10456",22884,40.837314,-73.922428
7,Bronx,Mott Haven,"10454, 10455, 10459, 10474",14367,40.813229,-73.905183
8,Bronx,Northeast Bronx,"10466, 10469, 10470, 10475",24984,40.86995,-73.84411800000001
9,Bronx,Riverdale,"10463, 10471",12000,40.879335,-73.910328
10,Bronx,Southeast Bronx,"10461, 10462, 10464, 10465, 10472, 10473",33947,40.862716999999996,-73.793643
11,Brooklyn,Borough Park,"11204, 11218, 11219, 11230",39261,40.644512,-73.978228
12,Brooklyn,Bushwick,"11206, 11221, 11237",17095,40.692502000000005,-73.927079
13,Brooklyn,Canarsie,"11234, 11236, 11239",19004,40.639866,-73.899428
14,Brooklyn,Central Brooklyn,"11212, 11213, 11216, 11233, 11238",25135,40.680972,-73.947638
15,Brooklyn,East New York,"11207, 11208",15547,40.671296000000005,-73.895212
16,Brooklyn,Flatbush,"11203, 11210, 11225, 11226",26174,40.625556,-73.94589599999999
17,Brooklyn,Flatlands,"11234, 11236, 11239",19004,40.639866,-73.899428
18,Brooklyn,Greenpoint,"11211, 11222",13919,40.711665999999994,-73.946422
19,Brooklyn,New Lots,"11207, 11208",15547,40.671296000000005,-73.895212
20,Brooklyn,Northwest Brooklyn,"11201, 11205, 11215, 11217, 11231",19361,40.66509,-73.980306
21,Brooklyn,Southern Brooklyn,"11223, 11224, 11229, 11235",30347,40.577309,-73.98602199999999
22,Brooklyn,Southwest Brooklyn,"11209, 11214, 11228",15522,40.597689,-74.000986
23,Brooklyn,Sunset Park,"11220, 11232",7947,40.657236,-74.002868
24,Brooklyn,Williamsburg,"11206, 11221, 11237",17095,40.692502000000005,-73.927079
25,Manhattan,Central Harlem,"10026, 10027, 10030, 10037, 10039",15056,40.818433,-73.942274
26,Manhattan,Chelsea,"10001, 10011, 10018, 10019, 10019, 10036",18132,40.74406,-74.004592
27,Manhattan,Clinton,"10001, 10011, 10018, 10019, 10019, 10036",18132,40.74406,-74.004592
28,Manhattan,East Harlem,"10029, 10035",11450,40.795273,-73.93010699999999
29,Manhattan,Gramercy Park,"10010, 10016, 10017, 10022",11931,40.744594,-73.978088
30,Manhattan,Greenwich Village,"10012, 10013, 10014",5780,40.720921000000004,-74.008878
31,Manhattan,Inwood,"10031, 10032, 10033, 10034, 10040",25325,40.858549,-73.93955
32,Manhattan,Lower East Side,"10002, 10003, 10009",13371,40.731392,-73.9884
33,Manhattan,Lower Manhattan,"10004, 10005, 10006, 10007, 10038, 10280",3710,40.707932,-74.013335
34,Manhattan,Murray Hill,"10010, 10016, 10017, 10022",11931,40.744594,-73.978088
35,Manhattan,Soho,"10012, 10013, 10014",5780,40.720921000000004,-74.008878
36,Manhattan,Upper East Side,"10021, 10028, 10044, 10065, 10075, 10128",19463,40.761173,-73.950806
37,Manhattan,Upper West Side,"10023, 10024, 10025",18141,40.797364,-73.97785
38,Manhattan,Washington Heights,"10031, 10032, 10033, 10034, 10040",25325,40.858549,-73.93955
39,Queens,Central Queens,"11365, 11366, 11367",8570,40.728054,-73.790559
40,Queens,Jamaica,"11412, 11423, 11432, 11433, 11434, 11435, 11436",30839,40.697441,-73.786854
41,Queens,North Queens,"11354, 11355, 11356, 11357, 11358, 11360, 11360",20098,40.787246,-73.811211
42,Queens,Northeast Queens,"11361, 11362, 11363, 11364",6227,40.757498,-73.735124
43,Queens,Northwest Queens,"11101, 11102, 11103, 11104, 11105, 11106",17914,40.762289,-73.912051
44,Queens,Rockaways,"11691, 11692, 11693, 11694, 11697",15068,40.610717,-73.822376
45,Queens,Southeast Queens,"11004, 11004, 11411, 11413, 11422, 11426, 11427, 11428, 11429",24361,40.659812,-73.738055
46,Queens,Southwest Queens,"11414, 11415, 11416, 11417, 11418, 11419, 11420, 11421",25525,40.699576,-73.831452
47,Queens,West Central Queens,"11374, 11375, 11379, 11385",21314,40.723074,-73.842196
48,Queens,West Queens,"11368, 11369, 11370, 11372, 11373, 11377, 11378",52031,40.75173,-73.882981
49,Staten Island,Mid-Island,10314,10151,40.596148,-74.161613
50,Staten Island,Port Richmond,"10302, 10303, 10310",7807,40.632564,-74.168239
51,Staten Island,South Shore,"10306, 10307, 10308, 10309, 10312",19534,40.55291,-74.14956
52,Staten Island,St. George,"10301, 10304, 10305",14119,40.607209000000005,-74.095301
53,Staten Island,Stapleton,"10301, 10304, 10305",14119,40.607209000000005,-74.095301
